company,ticker,file_date,label,CAR1,CAR3,CAR5,contaminated_w1,contaminated_w3,contaminated_w5,sec_url
CHENIERE ENERGY INC  (LNG)  (CIK 0000003570),LNG,2016-09-30,stock,-3.6693665290713127,-2.574840408428816,-2.724418594448101,False,False,False,https://www.sec.gov/Archives/edgar/data/3570/000119312516726690/d94976d8k.htm
CHENIERE ENERGY INC  (LNG)  (CIK 0000003570),LNG,2016-12-09,stock,1.0526629538987389,-4.82243587013213,-2.4966408238703184,False,False,False,https://www.sec.gov/Archives/edgar/data/3570/000119312516789152/d307012d8k.htm
Priceline Group Inc.  (BKNG)  (CIK 0001075531),BKNG,2017-02-07,cash,1.3095540400515235,1.9896770954243137,-1.590627676940105,False,False,False,https://www.sec.gov/Archives/edgar/data/1075531/000107553117000003/a8-kmomondo.htm
Vistra Energy Corp  (VST)  (CIK 0001692819),VST,2017-10-31,stock,-5.324963712256538,-6.706263929684142,-4.181582058335629,False,False,False,https://www.sec.gov/Archives/edgar/data/1692819/000119312517326019/d486084dex991.htm
CHENIERE ENERGY INC  (LNG)  (CIK 0000003570),LNG,2018-05-17,stock,0.4011343079801322,-0.3620022431338728,-2.729213716710593,False,False,False,https://www.sec.gov/Archives/edgar/data/3570/000119312518165956/d588927d8k.htm
"Diamondback Energy, Inc.  (FANG)  (CIK 0001539838)",FANG,2018-08-15,stock,-9.275769834793024,-7.968700991189066,,False,False,True,https://www.sec.gov/Archives/edgar/data/1539838/000119312518248885/d562857dex992.htm
FISERV INC  (FI)  (CIK 0000798354),FISV,2019-01-16,stock,-1.085261379746442,3.540610323564286,9.153922515714704,False,False,False,https://www.sec.gov/Archives/edgar/data/798354/000119312519010301/d680169dex992.htm
SALESFORCE COM INC  (CRM)  (CIK 0001108524),CRM,2019-06-10,stock,-8.488168883947944,-5.123374010339939,-9.376007746185122,False,False,False,https://www.sec.gov/Archives/edgar/data/1108524/000119312519168525/d750397dex991.htm
SALESFORCE COM INC  (CRM)  (CIK 0001108524),CRM,2019-06-12,stock,-1.3700342196487438,-8.863109040275724,-5.722648490258405,False,False,False,https://www.sec.gov/Archives/edgar/data/1108524/000119312519170787/d765824dex991.htm
AMETEK INC/  (AME)  (CIK 0001037868),AME,2019-09-30,cash,-0.2513075342219093,-1.0068020234412147,-0.6312113128843557,False,False,False,https://www.sec.gov/Archives/edgar/data/1037868/000119312519258686/d809519dex991.htm
AMETEK INC/  (AME)  (CIK 0001037868),AME,2020-01-07,cash,0.1261488807724068,-0.5227582559590196,-1.1330861380076225,False,False,False,https://www.sec.gov/Archives/edgar/data/1037868/000119312520002820/d855781dex991.htm
BORGWARNER INC  (BWA)  (CIK 0000908255),BWA,2020-01-28,stock,,,,True,True,True,https://www.sec.gov/Archives/edgar/data/908255/000120677420000239/bwa3712381-ex992.htm
FRANKLIN RESOURCES INC  (BEN)  (CIK 0000038777),BEN,2020-02-18,cash,5.08673028155712,2.8940572999653305,3.4815165357256483,False,False,False,https://www.sec.gov/Archives/edgar/data/38777/000119312520039593/d891122dex992.htm
"Nutanix, Inc.  (NTNX)  (CIK 0001618732)",NTNX,2020-08-27,cash,,,,True,True,True,https://www.sec.gov/Archives/edgar/data/1618732/000115752320001213/a52273900.htm
CONOCOPHILLIPS  (COP)  (CIK 0001163165),COP,2020-10-19,stock,-4.664859793338703,-3.356064819391904,-7.300731919062307,False,False,False,https://www.sec.gov/Archives/edgar/data/1163165/000110465920115818/tm2033409d1_ex99-1.htm
ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488),AMD,2020-10-27,stock,,,,True,True,True,https://www.sec.gov/Archives/edgar/data/2488/000119312520277468/d67182dex991.htm
"Diamondback Energy, Inc.  (FANG)  (CIK 0001539838)",FANG,2020-12-21,stock,-5.3640631946052375,1.2790719030008264,-6.751332343328744,False,False,False,https://www.sec.gov/Archives/edgar/data/1539838/000119312520322296/d93715dex992.htm
CSX CORP  (CSX)  (CIK 0000277948),CSX,2021-01-21,cash,,,,True,True,True,https://www.sec.gov/Archives/edgar/data/277948/000027794821000005/qfr_q42020.htm
CASEYS GENERAL STORES INC  (CASY)  (CIK 0000726958),CASY,2021-03-22,cash,2.1633584996188286,2.78619859986386,3.1554926886018646,False,False,False,https://www.sec.gov/Archives/edgar/data/726958/000114036121009407/brhc10022054_ex99-1.htm
AMETEK INC/  (AME)  (CIK 0001037868),AME,2021-03-22,cash,-0.0032451830763446,2.8545233454373258,4.123573137730138,False,False,False,https://www.sec.gov/Archives/edgar/data/1037868/000103786821000009/exhibit-991abaco3x22x21.htm
IDEX CORP /DE/  (IEX)  (CIK 0000832101),IEX,2021-04-28,cash,,,,True,True,True,https://www.sec.gov/Archives/edgar/data/832101/000083210121000031/iex-20210427.htm
"REALTY INCOME CORP  (O, O-P)  (CIK 0000726728)",O,2021-04-29,stock,0.941879897932672,,,False,True,True,https://www.sec.gov/Archives/edgar/data/726728/000110465921056901/tm2114533d1_ex99-1.htm
Blackstone Group Inc  (BX)  (CIK 0001393818),BX,2021-07-14,cash,0.5233813096109791,1.4419731188007707,5.661846038381961,False,False,False,https://www.sec.gov/Archives/edgar/data/1393818/000119312521215337/d189565dex991.htm
"AMERICAN INTERNATIONAL GROUP, INC.  (AIG)  (CIK 0000005272)",AIG,2021-07-14,cash,1.3581938247695868,0.4968291161221577,1.3637414922186433,False,False,False,https://www.sec.gov/Archives/edgar/data/5272/000110465921092125/tm2122207d1_ex99-1.htm
Phillips 66  (PSX)  (CIK 0001534701),PSX,2021-10-27,stock,-9.05569298401477,,,False,True,True,https://www.sec.gov/Archives/edgar/data/1534701/000153470121000192/phoenixpressrelease.htm
Restaurant Brands International Inc.  (QSR)  (CIK 0001618756),QSR,2021-11-15,cash,0.4438977062079605,-2.010338883185923,-1.5632533965776485,False,False,False,https://www.sec.gov/Archives/edgar/data/1618756/000161875621000062/anov152021northpolepressre.htm
Restaurant Brands International Limited Partnership  (RSTRF)  (CIK 0001618755),RSTRF,2021-11-15,cash,0.0031678409442317,-0.2509779937033489,1.742434722762956,False,False,False,https://www.sec.gov/Archives/edgar/data/1618755/000161875521000062/anov152021northpolepressre.htm
Xylem Inc.  (XYL)  (CIK 0001524472),XYL,2023-01-23,stock,-8.227926950738057,-16.29775759036099,-16.535607957372186,False,False,False,https://www.sec.gov/Archives/edgar/data/1524472/000119312523012563/d441004dex991.htm
FIRSTENERGY CORP  (FE)  (CIK 0001031296),FE,2023-02-03,cash,-2.521155277609428,-5.50829323657225,-3.598892899918039,False,False,False,https://www.sec.gov/Archives/edgar/data/1031296/000103129623000007/ex991-pressreleasexfetanno.htm
Permian Resources Corp  (PR)  (CIK 0001658566),PR,2023-08-21,stock,5.939489943083241,9.53791467987438,9.8145049600943,False,False,False,https://www.sec.gov/Archives/edgar/data/1658566/000119312523216550/d511525dex991.htm
Lumentum Holdings Inc.  (LITE)  (CIK 0001633978),LITE,2023-10-30,cash,,,,True,True,True,https://www.sec.gov/Archives/edgar/data/1633978/000119312523265658/d575524d8k.htm
AMETEK INC/  (AME)  (CIK 0001037868),AME,2023-10-31,cash,,,,True,True,True,https://www.sec.gov/Archives/edgar/data/1037868/000103786823000054/ametek8kexhibit99210-31x23.htm
APA Corp  (APA)  (CIK 0001841666),APA,2024-01-04,stock,-3.411699225929074,-7.53302687492304,-12.699653651024898,False,False,False,https://www.sec.gov/Archives/edgar/data/1841666/000119312524002515/d680825dex991.htm
BOSTON SCIENTIFIC CORP  (BSX)  (CIK 0000885725),BSX,2024-02-27,cash,-0.0192203912041265,0.2688911992625205,0.5035450240315039,False,False,False,https://www.sec.gov/Archives/edgar/data/885725/000088572524000025/bsx-20240222.htm
SCHLUMBERGER LIMITED/NV  (SLB)  (CIK 0000087347),SLB,2024-04-02,stock,0.5899454848688838,1.7194741789427272,0.5821237268029262,False,False,False,https://www.sec.gov/Archives/edgar/data/87347/000119312524084191/d501949dex991.htm
IDEX CORP /DE/  (IEX)  (CIK 0000832101),IEX,2024-07-23,cash,-0.6284422535707874,0.803916636878956,4.821448592357909,False,False,False,https://www.sec.gov/Archives/edgar/data/832101/000083210124000035/iex-20240723.htm
"Coeur Mining, Inc.  (CDE)  (CIK 0000215466)",CDE,2024-10-04,cash,-12.241993021372268,-12.64249226116971,-21.03128182868214,False,False,False,https://www.sec.gov/Archives/edgar/data/215466/000114036124042911/ef20036722_8k.htm
OMNICOM GROUP INC.  (OMC)  (CIK 0000029989),OMC,2024-12-09,stock,-9.95985527607682,-13.686735727900473,-14.425057058706384,False,False,False,https://www.sec.gov/Archives/edgar/data/29989/000119312524272904/d863026dex991.htm
NXP Semiconductors N.V.  (NXPI)  (CIK 0001413447),NXPI,2024-12-17,cash,2.848437817437583,1.151152448222897,-1.889456635025756,False,False,False,https://www.sec.gov/Archives/edgar/data/1413447/000141344724000134/nxpi-20241217.htm
NXP Semiconductors N.V.  (NXPI)  (CIK 0001413447),NXPI,2025-01-07,cash,1.7931748994252164,2.3565413751523514,2.773879037854934,False,False,False,https://www.sec.gov/Archives/edgar/data/1413447/000141344725000005/nxpi-20250107.htm
